Dates,PX_LAST,PX_VOLUME
#NAME?,211.28,64953
1/3/2018,209,42276
1/4/2018,205.51,56186
1/5/2018,202,54218
1/8/2018,208.95,59956
1/9/2018,205.5,65368
1/10/2018,205.18,45286
1/11/2018,203.96,63149
1/12/2018,200.51,51839
1/16/2018,201.69,55500
1/17/2018,204.25,45315
1/18/2018,202.96,54213
1/19/2018,207.27,58998
1/22/2018,205.99,53612
1/23/2018,206.36,43399
1/24/2018,205.51,62232
1/25/2018,204.43,56808
1/26/2018,206.94,62315
1/29/2018,202.06,63615
1/30/2018,203.1,32188
1/31/2018,202.52,42817
2/1/2018,202.84,80325
2/2/2018,199.24,93347
2/5/2018,186.7,66357
2/6/2018,184.56,69062
2/7/2018,187.61,40468
2/8/2018,182.58,56042
2/9/2018,182.29,52964
2/12/2018,180.97,63537
2/13/2018,183.41,57986
2/14/2018,183.79,36812
2/15/2018,189.02,31799
2/16/2018,190.69,42651
2/20/2018,185.73,35768
2/21/2018,183.52,46781
2/22/2018,183.04,44653
2/23/2018,182.17,36229
2/26/2018,185.62,52929
2/27/2018,182.2,61683
2/28/2018,186.61,59400
3/1/2018,185.51,42431
3/2/2018,191.2,73340
3/5/2018,186,45515
3/6/2018,188.78,59423
3/7/2018,185.31,48461
3/8/2018,188.81,32794
3/9/2018,187.86,47588
3/12/2018,187.48,30935
3/13/2018,186.49,35182
3/14/2018,183.91,44421
3/15/2018,179.5,53777
3/16/2018,182.44,75846
3/19/2018,179.35,45455
3/20/2018,179.1,26521
3/21/2018,176.5,22438
3/22/2018,175.67,47611
3/23/2018,169.59,27719
3/26/2018,173.56,44599
3/27/2018,172.55,30418
3/28/2018,174.18,18604
3/29/2018,172.67,82745
4/2/2018,170.3,51933
4/3/2018,174.04,35499
4/4/2018,177.76,56037
4/5/2018,176.72,52104
4/6/2018,174.75,31416
4/9/2018,174.88,34769
4/10/2018,174.75,45580
4/11/2018,174.08,37480
4/12/2018,172.36,22080
4/13/2018,172.68,26098
4/16/2018,175.1,20842
4/17/2018,175.48,47762
4/18/2018,174.27,67773
4/19/2018,169.35,38855
4/20/2018,169.77,58961
4/23/2018,168.55,35318
4/24/2018,167.2,23702
4/25/2018,165.72,30913
4/26/2018,168.78,26226
4/27/2018,167.5,49394
4/30/2018,168.39,30851
5/1/2018,169.01,29258
5/2/2018,164.45,28885
5/3/2018,162.4,28550
5/4/2018,164.87,27033
5/7/2018,165.3,41565
5/8/2018,168.86,50827
5/9/2018,133.11,432201
5/10/2018,137.66,219664
5/11/2018,130.85,156504
5/14/2018,126.8,191308
5/15/2018,127.22,130477
5/16/2018,126.48,88234
5/17/2018,129.76,106733
5/18/2018,129.26,50535
5/21/2018,129.27,51355
5/22/2018,128.64,39175
5/23/2018,128.76,52151
5/24/2018,127.44,59058
5/25/2018,126.97,53833
5/29/2018,128.49,54027
5/30/2018,129.29,54071
5/31/2018,127.41,62712
6/1/2018,126.66,48545
6/4/2018,129.44,62965
6/5/2018,128.3,38500
6/6/2018,126.97,43285
6/7/2018,129.41,43000
6/8/2018,129.7,62318
6/11/2018,130.83,40324
