Dates,PX_LAST,PX_VOLUME
#NAME?,118.06,4165804
1/3/2018,117.75,4224441
1/4/2018,118.33,3146952
1/5/2018,118.67,2714157
1/8/2018,117.99,5730359
1/9/2018,118.08,4573557
1/10/2018,117.48,3363949
1/11/2018,116.88,3685198
1/12/2018,117.38,4335547
1/16/2018,117.86,4936457
1/17/2018,119.18,4554561
1/18/2018,119.05,6221784
1/19/2018,120.17,6002630
1/22/2018,121.51,4308565
1/23/2018,121.3,3536885
1/24/2018,121.14,3445192
1/25/2018,120.9,2713029
1/26/2018,121.76,3993852
1/29/2018,119.67,3854724
1/30/2018,119.89,4945184
1/31/2018,120.3,4018071
2/1/2018,120.3,3485603
2/2/2018,118.67,3348919
2/5/2018,114.46,5347638
2/6/2018,113.56,6643066
2/7/2018,113.5,4931420
2/8/2018,110.15,4907893
2/9/2018,111.18,5301683
2/12/2018,111.93,4759243
2/13/2018,112.14,5274742
2/14/2018,109.11,7702711
2/15/2018,110.97,5125236
2/16/2018,111.06,5578509
2/20/2018,109.48,3835520
2/21/2018,108,4501948
2/22/2018,109.26,5394741
2/23/2018,109.68,4760425
2/26/2018,110.94,5355408
2/27/2018,110.89,6385795
2/28/2018,109.73,4638876
3/1/2018,108.12,6896334
3/2/2018,109.04,4903615
3/5/2018,109.43,3781706
3/6/2018,109.58,3380798
3/7/2018,109.84,4612636
3/8/2018,112.08,5437692
3/9/2018,112.54,3680552
3/12/2018,112.75,4509634
3/13/2018,113.6,4589989
3/14/2018,112.61,4055703
3/15/2018,111.99,3906797
3/16/2018,111.64,7730790
3/19/2018,110.36,4216684
3/20/2018,109.9,3319048
3/21/2018,108.74,3867590
3/22/2018,107.94,4325503
3/23/2018,106.15,4873324
3/26/2018,106.81,4119419
3/27/2018,107.64,5036264
3/28/2018,109.18,6412990
3/29/2018,109.15,3829547
4/2/2018,107.05,4325461
4/3/2018,108.19,4698983
4/4/2018,110.18,4694224
4/5/2018,110.57,3275716
4/6/2018,109.3,3579131
4/9/2018,109.38,2619974
4/10/2018,109.4,2827266
4/11/2018,108.68,4000221
4/12/2018,108.31,2691695
4/13/2018,109.26,2828252
4/16/2018,109.92,2769769
4/17/2018,108.87,5021990
4/18/2018,106.98,6525506
4/19/2018,105.57,6320197
4/20/2018,102.48,8649951
4/23/2018,102.58,6670566
4/24/2018,101.44,5695475
4/25/2018,101.15,4828302
4/26/2018,103.26,5978848
4/27/2018,101.71,4765865
4/30/2018,100.94,5479886
5/1/2018,99.13,4543872
5/2/2018,97.23,5927696
5/3/2018,97.6,6668179
5/4/2018,98.99,5936965
5/7/2018,98.23,3475402
5/8/2018,96.79,5333659
5/9/2018,96.16,6201454
5/10/2018,97.27,3100581
5/11/2018,97.43,3507269
5/14/2018,97.15,4307908
5/15/2018,96.8,6555680
5/16/2018,97.19,5544684
5/17/2018,97.92,6531126
5/18/2018,97.51,6893957
5/21/2018,99.51,6678100
5/22/2018,99.93,6807646
5/23/2018,100.45,6249855
5/24/2018,100.18,4696707
5/25/2018,100.31,5324275
5/29/2018,101.1,8302569
5/30/2018,101.83,6256583
5/31/2018,100.25,8270053
6/1/2018,100.25,4414613
6/4/2018,100.12,3931982
6/5/2018,100.21,4851861
6/6/2018,100.83,3946695
6/7/2018,101.16,5052853
6/8/2018,102.49,4795523
6/11/2018,103.21,3984511
6/12/2018,104.48,5075912
6/13/2018,105.27,7553461
6/14/2018,105.13,4812635
6/15/2018,107.61,10572996
6/18/2018,105.38,5971395
6/19/2018,105.96,5504407
6/20/2018,105.81,4601418
6/21/2018,107.24,6550685
6/22/2018,108.37,5709358
6/25/2018,108.99,5183024
6/26/2018,108.05,5034143
6/27/2018,108.27,6229171
6/28/2018,108.68,4297621
6/29/2018,108.87,4721408
7/2/2018,109.53,4711946
7/3/2018,108.8,3769084
7/5/2018,109.55,4870442
7/6/2018,109.56,4387271
7/9/2018,107.76,7866386
7/10/2018,112.89,16107178
7/11/2018,112.54,5521425
7/12/2018,111.53,5500136
7/13/2018,112.69,4417072
7/16/2018,112.96,5413797
7/17/2018,114.88,6783841
7/18/2018,114.83,5379211
7/19/2018,115.77,9241278
7/20/2018,116.01,27609997
7/23/2018,114.39,7769312
7/24/2018,114.74,5095050
7/25/2018,115.21,5450520
7/26/2018,115,5096320
7/27/2018,114.28,4563735
7/30/2018,114.18,3621803
7/31/2018,115,4892122
8/1/2018,113.61,4169179
8/2/2018,114.69,4167239
8/3/2018,116.3,3934466
8/6/2018,117.38,6704962
8/7/2018,114.22,6919565
8/8/2018,113.49,5173261
8/9/2018,113.7,4115379
8/10/2018,112.87,3711872
8/13/2018,113.02,3170097
8/14/2018,113.1,3836737
8/15/2018,113.45,6513277
8/16/2018,114.25,4504643
8/17/2018,114.96,3391709
8/20/2018,114.84,3676022
8/21/2018,113.72,4667719
8/22/2018,112.24,3861109
8/23/2018,111.93,4509100
8/24/2018,112.15,3677721
8/27/2018,112.41,3155717
8/28/2018,111.17,5229403
8/29/2018,112.05,2403189
8/30/2018,111.96,2119073
8/31/2018,112.01,4248805
9/4/2018,111,4576572
9/5/2018,113.12,4392105
9/6/2018,113.5,4808260
9/7/2018,112.74,3834064
9/10/2018,113.57,3289725
9/11/2018,113.33,2807253
9/12/2018,113.85,3651358
9/13/2018,114.99,3808143
9/14/2018,114.57,2698325
9/17/2018,115.4,3092582
9/18/2018,113.98,4081437
9/19/2018,113.77,2844869
9/20/2018,115.22,3375863
9/21/2018,114.91,6989548
9/24/2018,112.27,3387617
9/25/2018,111.97,3538656
9/26/2018,111.5,4053521
9/27/2018,111.05,3841618
9/28/2018,111.8,5945256
10/1/2018,110.71,5064669
10/2/2018,108.72,6702152
10/3/2018,107.52,6107483
10/4/2018,106.61,4930274
10/5/2018,106.49,3438074
10/8/2018,108.19,3994129
10/9/2018,108.12,4105678
10/10/2018,107.34,5796166
10/11/2018,105.06,5755112
10/12/2018,105.28,4543011
10/15/2018,105.63,3805689
10/16/2018,107.39,4061579
10/17/2018,108.31,4495857
10/18/2018,107.93,4094033
10/19/2018,110.29,5109005
10/22/2018,109.4,5477714
10/23/2018,110.13,4484123
10/24/2018,112.96,8222879
10/25/2018,112.85,6712939
10/26/2018,110.45,5872775
10/29/2018,112.89,5705997
10/30/2018,113.77,4900399
10/31/2018,112.38,6449473
11/1/2018,111.51,5736715
11/2/2018,111.17,6705770
11/5/2018,114.39,5270360
11/6/2018,115.21,3913449
11/7/2018,115.61,4219594
11/8/2018,116.06,2925092
11/9/2018,117.48,5026306
11/12/2018,116.97,4781899
11/13/2018,117.14,3609927
11/14/2018,116.65,4423812
11/15/2018,116.8,4045746
11/16/2018,118.35,4484333
11/19/2018,119.01,4673935
11/20/2018,116,5088238
11/21/2018,115.28,3245054
11/23/2018,115.41,1444727
11/26/2018,115.86,2972459
11/27/2018,116.44,2884749
11/28/2018,118.5,3989365
11/29/2018,118.27,2878675
11/30/2018,121.94,8051115
12/3/2018,118.98,6112959
12/4/2018,117.8,7018210
12/6/2018,116.84,5191681
12/7/2018,115.82,4615881
12/10/2018,116.19,4150858
12/11/2018,117.29,5545054
12/12/2018,117,4889715
12/13/2018,118.35,6181237
12/14/2018,113.95,7404239
12/17/2018,112.87,6015296
12/18/2018,111.84,5846156
12/19/2018,110.04,6915432
12/20/2018,110.21,8468311
12/21/2018,109.42,13263615
12/24/2018,106.03,3354049
12/26/2018,108.33,4537048
12/27/2018,109.42,5175858
12/28/2018,110.36,5410371
12/31/2018,110.48,5019173
1/2/2019,109.28,4835357
1/3/2019,108.26,5975925
1/4/2019,110.48,6293898
1/7/2019,109.53,5220490
1/8/2019,110.58,6407745
1/9/2019,107.49,8521291
1/10/2019,108.15,7905010
1/11/2019,108.16,5939031
1/14/2019,107.32,5804597
1/15/2019,108.99,4508119
1/16/2019,108.34,4953505
1/17/2019,109.22,4612249
1/18/2019,110.07,5142734
1/22/2019,109.91,5298239
1/23/2019,110.73,5197388
1/24/2019,109.5,4477466
1/25/2019,109.35,5071205
1/28/2019,108.82,4055919
1/29/2019,109,4301528
1/30/2019,110.82,5023824
1/31/2019,112.67,6183408
2/1/2019,112.19,5010479
2/4/2019,113.09,3664960
2/5/2019,112.9,4593360
2/6/2019,113.05,4209394
2/7/2019,113.09,4227677
2/8/2019,113.015,3868255
2/11/2019,112.97,4851068
2/12/2019,113.79,6765311
2/13/2019,114.12,5528030
2/14/2019,112.59,6359154
2/15/2019,115.91,8889504
2/19/2019,115.93,5596052
2/20/2019,115.83,6038940
2/21/2019,116.1,4825945
2/22/2019,116.76,4865412
2/25/2019,116.06,3755910
2/26/2019,115.97,4074651
2/27/2019,115.37,4175511
2/28/2019,115.64,5586296
3/1/2019,116.18,3629189
3/4/2019,116.17,4383080
3/5/2019,116.03,3785396
3/6/2019,116.66,4770682
3/7/2019,116.1,4858309
3/8/2019,115.23,5003286
3/11/2019,116.59,4821824
3/12/2019,116.57,4356442
3/13/2019,116.58,5968563
3/14/2019,115.5,8986684
3/15/2019,115.66,18194180
3/18/2019,117.27,9475999
3/19/2019,118.09,6751664
3/20/2019,118.32,5733516
3/21/2019,119.44,4305586
3/22/2019,120.72,6668099
3/25/2019,120.85,4275527
3/26/2019,122.02,4583158
3/27/2019,121.89,5318490
3/28/2019,121.84,3694740
3/29/2019,122.55,5758805
4/1/2019,122,5025662
4/2/2019,121.68,3242608
4/3/2019,121.56,4534426
4/4/2019,121.47,3022470
4/5/2019,121.62,3971535
4/8/2019,122,3140147
4/9/2019,122.17,3864363
4/10/2019,122.04,2681090
4/11/2019,121.67,3399742
4/12/2019,122.23,3501129
4/15/2019,123.66,4419849
4/16/2019,122.41,5263742
4/17/2019,127.01,7318172
4/18/2019,127.09,6331152
4/22/2019,126.44,3707004
4/23/2019,127.09,4464139
4/24/2019,126.92,3517173
4/25/2019,126.13,4433718
4/26/2019,126.4,3033876
4/29/2019,126.69,2793384
4/30/2019,128.05,4963611
5/1/2019,127.24,3810811
5/2/2019,126.83,2875936
5/3/2019,127.67,2854949
5/6/2019,127.27,2883946
5/7/2019,125.98,3558887
5/8/2019,126.02,3844711
5/9/2019,126.05,3127153
5/10/2019,128.01,3720445
5/13/2019,127.16,4297336
5/14/2019,127.41,5150328
5/15/2019,129.35,3751936
5/16/2019,130.27,4812909
5/17/2019,130.51,4011704
5/20/2019,129.99,3965560
5/21/2019,129.05,4080776
5/22/2019,130.07,3588006
5/23/2019,129.97,3901599
5/24/2019,129.5,2702733
5/28/2019,127.63,8805969
5/29/2019,128.17,5502814
5/30/2019,128.61,2710688
5/31/2019,128,4191171
6/3/2019,128.98,3588681
6/4/2019,129.07,4242361
6/5/2019,131.39,5084169
6/6/2019,131.98,5527984
6/7/2019,133.47,6332717
6/10/2019,133.59,2957855
6/11/2019,133.2,3553620
6/12/2019,133.14,3302751
6/13/2019,132.94,2851536
6/14/2019,132.73,3291805
6/17/2019,132.52,2725751
6/18/2019,132.06,4378222
6/19/2019,132.85,4349918
6/20/2019,134.16,3847549
6/21/2019,133.96,7696290
6/24/2019,134.14,3685771
6/25/2019,133.81,4176399
6/26/2019,132.32,6024090
6/27/2019,131.69,4750934
6/28/2019,131.13,6318523
7/1/2019,131.87,3548924
